,distance,width,movement_time
2659,40,18,426
5027,75,8,808
3417,120,18,518
2188,40,18,369
5262,60,20,353
6022,60,6,969
670,160,20,766
650,40,14,504
269,210,14,673
2360,210,14,918
2559,160,18,789
3957,40,10,705
4189,60,10,599
4797,40,8,592
5049,120,10,773
1021,160,6,824
626,60,6,1142
1116,210,14,970
4055,75,10,592
4132,75,20,482
2693,75,10,815
31,160,10,1336
3330,210,8,1009
5730,40,18,395
140,75,8,864
5545,120,8,665
3521,210,20,983
2554,160,18,823
1804,210,6,886
3019,75,10,527
5834,75,14,553
4255,60,8,948
1025,160,20,704
3694,60,18,633
2191,160,6,1083
5662,210,6,928
4235,40,18,408
5605,40,14,330
5898,120,20,648
1555,120,10,615
722,75,10,1041
307,40,18,398
3697,60,18,575
2899,60,20,866
1507,75,20,610
731,210,8,1209
4082,210,20,848
2756,160,14,755
394,210,10,1143
4234,40,18,353
2941,210,10,1074
3110,120,14,728
5584,210,10,608
4576,210,8,1106
5532,60,18,357
1146,160,14,1058
1900,75,10,410
4034,60,6,610
2799,60,14,575
2228,40,10,368
1691,40,10,390
5644,60,20,355
2016,40,8,480
5025,75,8,593
3389,120,20,806
905,40,20,510
2757,160,14,1025
2425,75,14,586
3653,40,18,649
5146,210,8,930
4431,210,20,838
4178,120,6,681
289,40,10,672
4116,120,14,494
4575,210,8,1200
3213,160,6,1280
3751,160,14,717
3390,120,20,698
5652,75,18,349
4016,75,14,609
4403,40,8,504
1880,160,14,567
5264,60,20,642
1545,210,18,696
1795,120,14,605
2936,210,10,918
3114,120,14,728
5714,210,18,520
181,40,6,601
4363,75,6,711
777,120,18,930
5707,210,18,521
5843,40,6,694
1590,120,20,535
4752,75,8,672
1563,120,18,490
2113,210,10,1086
2366,210,14,911
5236,160,8,667
1416,210,18,824
74,60,14,600
4881,120,6,800
3719,120,8,983
852,160,8,1176
1287,40,8,567
3529,210,8,1608
20,75,14,671
544,120,14,712
3477,210,10,1128
361,210,10,816
3371,60,14,353
59,120,8,931
1969,75,14,432
1097,120,14,744
3190,210,20,727
4806,210,18,861
421,75,8,872
3197,60,10,512
442,60,8,874
2563,210,8,1294
1045,40,10,440
2544,120,14,846
5947,210,10,1289
305,40,18,441
5862,40,20,600
3560,40,8,1327
1137,40,20,464
5876,75,10,1576
2886,160,8,995
3878,160,20,574
3854,210,14,1007
3468,120,6,887
4041,210,8,1232
3716,160,6,1050
3153,40,18,485
2137,120,10,584
3296,160,8,817
4008,160,14,750
2967,60,8,575
6049,210,6,1360
2279,210,18,910
1297,120,18,730
1196,60,6,639
4905,160,20,472
1465,120,14,724
3518,160,8,1497
2376,210,20,813
1556,120,10,750
5160,60,18,425
590,120,6,1046
76,120,6,1086
4522,210,6,1209
4714,40,18,583
1816,120,8,579
2624,75,8,708
5994,160,8,1280
156,60,6,672
5922,40,8,703
3905,60,8,545
5702,40,20,238
6079,75,18,537
1145,160,14,765
4122,120,14,608
1981,160,10,1121
1756,40,18,238
2974,75,6,867
3310,40,20,359
950,60,8,777
4384,210,10,1032
1181,40,18,528
4824,75,20,514
2260,210,8,871
1243,160,20,801
721,75,10,1043
2067,60,6,848
5886,160,18,823
4682,60,18,581
3249,210,6,906
2540,120,18,758
2627,75,8,697
880,120,8,1064
5865,40,20,466
2372,210,20,822
2733,210,8,1023
2715,60,8,793
718,75,10,987
3586,60,20,656
2234,40,10,450
3435,75,8,559
5849,40,6,874
4910,75,10,617
4529,75,8,750
4654,210,8,911
449,60,8,814
5927,60,8,624
477,120,20,760
2105,210,10,1344
3233,160,14,857
1140,40,20,463
5185,75,10,634
2189,40,18,401
3876,160,20,639
2119,120,6,1032
5518,120,20,434
5058,160,6,953
3246,40,6,757
4552,160,10,887
3640,75,8,835
2605,60,20,517
1407,160,6,936
1677,160,10,655
145,75,8,722
4916,75,10,561
6026,60,6,809
998,60,18,513
4864,160,18,869
1478,75,18,499
383,40,8,607
3032,40,20,467
4605,75,14,609
6066,75,20,536
3862,210,10,968
2738,210,8,1203
4493,160,8,947
3179,40,10,733
570,120,8,966
5738,40,18,247
3482,210,10,982
226,160,14,753
5441,160,18,705
1529,120,10,652
1931,75,20,663
980,210,8,1145
85,120,6,944
3319,210,14,730
3273,60,6,774
4248,60,8,948
4342,120,6,1025
3033,40,20,605
1028,160,20,625
5509,210,20,593
5108,210,6,961
1228,75,6,624
2068,120,14,761
5309,210,14,887
2746,160,6,1106
1574,75,18,448
5847,40,6,1320
2911,60,10,687
4641,120,18,674
5426,75,10,665
6070,75,18,734
323,60,8,967
3394,120,20,527
3445,40,14,469
5982,40,18,505
4689,60,18,544
5424,75,10,624
2274,210,18,687
5744,40,8,368
3904,60,8,512
643,40,14,719
199,75,10,623
5037,160,20,1057
1257,75,8,648
2081,120,20,722
3172,40,10,491
4210,75,18,384
4102,60,18,531
1326,60,8,623
4595,40,6,557
1215,60,18,457
5623,60,14,369
5100,60,8,429
1239,160,20,718
1923,210,20,791
314,40,18,530
4351,120,6,896
5629,120,18,536
143,75,8,827
1053,40,10,649
138,75,8,640
6,210,8,1054
382,40,8,855
4937,60,20,455
3818,120,10,778
2194,160,6,928
6084,60,10,640
1142,160,14,986
5462,120,14,546
749,160,14,910
4480,40,14,446
1612,60,10,551
1275,75,10,715
3909,60,8,527
5926,60,8,720
4601,75,14,574
3556,210,10,1517
1812,210,6,872
4030,60,6,568
2375,210,20,864
598,160,10,910
130,120,18,647
1433,210,10,856
1639,40,6,553
3705,120,20,928
4017,75,14,454
117,160,18,744
736,60,20,640
1340,160,18,735
6010,120,18,803
211,210,6,1221
2871,120,14,542
2384,160,8,905
3134,40,8,578
2433,210,10,800
5508,210,20,578
2268,210,18,744
5570,75,6,718
3196,60,10,695
2052,210,14,840
2024,160,14,904
968,60,6,680
2420,75,14,848
3067,210,20,881
3095,75,18,479
5192,40,8,431
5414,160,10,912
4051,210,8,1016
565,120,8,1112
1805,210,6,825
1078,210,20,958
3419,120,18,624
5144,210,8,968
5534,40,10,389
3936,75,6,624
3253,210,6,846
5956,210,10,865
3007,210,6,1024
4172,120,6,794
2685,75,20,472
4393,210,10,784
2534,120,18,769
1180,40,18,417
5483,75,8,760
4218,210,18,647
4059,75,10,752
2877,120,8,882
5442,160,18,641
5859,160,6,1304
3674,75,14,705
5634,120,18,471
4213,75,18,641
2020,40,8,457
2051,210,14,832
26,160,10,863
432,40,6,923
1600,210,8,737
4628,60,10,968
236,60,20,409
1031,160,20,589
485,75,18,791
2573,210,8,893
4710,40,18,503
272,210,18,702
5613,160,6,662
2839,120,18,994
1488,210,8,975
2250,75,18,365
55,120,8,822
1717,40,8,463
4358,210,14,769
928,75,20,794
5367,75,18,336
4773,60,14,465
5802,120,14,797
2475,40,10,512
757,40,8,664
3152,40,18,335
3255,210,6,986
1203,60,6,530
2200,60,10,549
445,60,8,798
1920,210,20,1187
4763,120,20,523
4503,160,20,606
1190,60,20,533
4716,40,18,498
328,75,18,520
1831,40,20,233
3256,210,6,920
3749,160,14,821
126,160,18,737
4781,75,14,618
1867,120,6,647
2422,75,14,623
1494,210,8,1040
4705,120,8,711
1461,120,14,605
3314,210,14,792
2696,75,10,581
791,60,14,577
2721,160,14,776
387,40,8,543
2112,210,10,1127
4481,120,8,707
1176,40,18,436
3201,60,10,704
3525,210,20,756
5827,210,8,1062
81,120,6,1048
5759,75,14,456
4094,75,8,760
3432,75,8,626
532,75,14,680
3331,210,8,1155
2264,210,8,848
4163,160,8,808
4636,60,10,729
1986,160,8,1062
3631,120,18,924
1709,40,14,409
352,120,10,758
929,75,20,642
1658,75,14,477
2519,60,18,423
4098,60,18,440
3206,60,18,872
4645,120,18,655
2038,160,18,755
5924,40,8,825
2015,40,8,553
2870,120,14,631
5291,210,20,633
3041,160,20,640
469,120,10,774
3232,160,14,1014
5455,210,14,666
5334,120,20,446
1122,75,14,538
5349,75,6,673
5222,40,6,566
2550,120,14,825
1412,210,18,758
3269,60,6,568
2934,210,10,1394
190,160,8,1091
5804,120,14,903
6085,60,10,632
788,60,14,725
2021,40,8,479
125,160,18,679
1944,40,20,370
1008,210,6,889
5419,160,10,605
108,160,20,847
178,40,6,679
3455,75,14,504
4170,120,6,641
283,40,10,545
3005,210,6,996
3635,120,18,905
593,160,10,793
2201,60,10,402
2901,60,20,673
3315,210,14,786
313,40,18,392
2271,210,18,688
5089,160,10,743
1279,75,10,751
6014,120,18,591
3661,210,6,1233
4070,60,14,423
364,210,10,913
4211,75,18,439
4975,210,20,607
2683,75,20,421
4951,160,14,704
2408,160,10,761
5932,60,8,576
3571,40,6,819
46,75,20,912
3151,75,20,382
3812,160,10,1095
1363,210,6,920
1807,210,6,632
2601,75,6,693
3229,160,14,703
4485,120,8,751
2691,75,10,583
3329,210,8,862
3078,60,18,501
4366,75,6,1112
4868,160,18,826
3504,60,10,861
1067,160,18,885
686,120,18,997
1836,160,6,967
5467,120,14,592
2430,210,10,1048
528,75,14,696
2255,210,8,1377
5450,160,18,430
3223,160,6,1352
3530,210,8,1111
3916,160,18,728
4804,210,18,785
2010,40,8,417
1481,75,18,575
566,120,8,1048
5811,40,14,554
6081,60,10,616
4871,160,18,671
4152,120,8,552
3728,60,14,793
4798,40,8,664
4599,75,14,502
1185,60,20,693
1245,160,20,701
3281,120,8,688
183,160,8,1041
5176,40,10,408
268,210,14,792
1889,210,10,695
3073,210,20,835
462,120,10,831
1630,75,8,473
1838,160,6,762
2288,40,6,701
4586,40,6,512
4527,75,8,967
3284,120,8,840
4377,210,18,761
5413,160,10,792
2269,210,18,648
1873,120,6,594
5498,75,20,383
4422,40,20,322
4532,75,8,663
2520,60,18,474
1809,210,6,800
5718,120,6,583
3409,160,18,536
4284,60,20,560
4878,120,6,816
6088,60,10,832
1995,160,8,1027
1444,60,10,597
3684,40,20,669
5296,210,20,629
1987,160,8,909
4544,160,10,889
4106,40,20,395
5009,120,6,1065
4807,210,18,867
1567,120,18,511
1976,160,10,1018
5056,160,6,871
5008,120,6,864
1453,120,20,820
5354,210,18,673
3385,160,20,607
4231,40,18,296
2104,210,10,1114
2155,40,14,456
498,160,8,878
463,120,10,888
2654,120,6,769
5620,60,14,391
4453,160,6,880
5874,75,10,933
3460,75,14,602
1050,40,10,514
3053,75,20,690
5231,75,20,472
5788,210,8,985
2110,210,10,817
4019,120,20,512
3358,60,20,444
2349,75,8,552
5131,210,10,769
2590,40,6,550
5417,160,10,713
5896,120,20,695
4118,120,14,571
5871,40,20,489
4225,210,18,649
2566,210,8,1184
5103,60,8,656
3778,210,18,1055
460,60,14,775
2824,40,8,576
1368,210,6,904
4144,40,14,390
1984,160,10,799
1004,210,6,1039
2025,160,14,1114
2385,160,8,945
4149,120,8,633
5308,210,14,904
3754,160,14,823
5254,60,6,502
3547,120,6,1000
3148,75,20,471
903,40,14,422
1680,160,10,654
4574,210,8,1320
1036,75,8,723
4966,210,10,904
3811,160,10,744
1121,75,14,431
5313,120,14,568
4526,75,8,1159
633,210,6,1274
1229,75,6,640
712,40,10,720
4693,60,8,627
5785,60,8,528
4039,60,6,703
3908,60,8,655
1679,160,10,657
885,120,6,1049
1428,210,10,1051
5331,40,14,370
3387,160,20,536
3682,40,20,658
4029,120,20,568
1360,60,14,520
17,75,14,690
2207,60,10,478
5270,120,8,581
2005,160,20,631
1189,60,20,536
814,75,6,945
2644,160,20,727
2833,120,18,736
4521,210,6,1064
1299,120,18,657
5117,210,6,806
1161,40,6,702
1238,160,20,690
3950,160,10,785
90,60,18,575
3978,210,14,846
5975,75,6,815
3142,75,20,760
3892,60,20,472
973,60,6,849
572,120,8,911
3384,160,20,552
5123,210,10,713
5431,60,10,495
4762,120,20,583
3685,40,20,845
2826,40,8,708
2500,60,10,678
3280,120,8,688
5080,60,10,450
3132,40,8,568
1578,75,18,445
4902,160,20,592
2358,75,8,952
3986,210,14,751
5284,75,14,389
4833,75,6,607
2537,120,18,750
5060,160,6,880
5353,75,6,592
4509,160,20,666
2468,210,18,951
6003,120,8,897
3881,210,6,968
3485,210,10,945
273,210,18,826
5169,40,10,445
5807,120,14,872
2130,120,10,593
2158,40,14,688
1147,160,14,1416
610,160,18,934
1899,75,10,428
1314,60,8,544
4,210,8,865
5735,40,18,248
464,120,10,847
4110,40,20,353
3013,210,6,1498
2423,75,14,681
5543,40,10,478
4339,120,6,1319
5244,160,8,816
4143,40,14,420
608,160,18,1019
2013,40,8,553
1764,60,14,462
3149,75,20,417
5115,210,6,825
5459,210,14,586
2898,60,20,656
4496,160,8,1050
4185,60,10,575
5970,75,6,683
5064,160,6,837
3562,40,8,952
1727,60,18,391
4854,60,6,739
4413,120,20,577
1968,75,14,553
648,40,14,623
88,60,18,569
1632,75,8,696
241,160,6,896
1972,160,10,1374
3113,120,14,705
2485,120,10,672
4466,75,20,415
5575,210,10,873
4602,75,14,610
300,60,10,574
2903,60,20,804
5729,120,6,702
2035,160,18,753
5154,210,8,919
2074,120,14,755
820,75,6,1137
5004,120,6,1031
2785,210,14,946
5592,160,14,656
6005,120,8,951
4839,75,6,544
5573,75,6,512
4649,210,8,1014
3175,40,10,345
4901,160,20,568
3042,160,20,659
3519,210,20,1105
5055,160,6,928
4105,40,20,396
4643,120,18,688
3943,75,6,658
3760,75,10,680
3597,60,8,704
3677,75,14,725
2405,160,10,823
2874,120,8,1699
5423,75,10,475
2183,40,18,390
690,120,18,843
2996,120,6,898
4558,75,10,854
2735,210,8,1363
153,60,6,727
1310,210,20,827
1295,120,18,711
541,75,20,570
294,60,10,720
3252,210,6,1368
6135,210,20,896
603,160,18,889
979,210,8,1280
1557,120,10,640
5361,210,18,560
2327,120,18,530
3838,160,18,962
2686,75,20,423
4136,40,14,382
4995,40,6,713
5150,210,8,886
3029,40,20,385
5829,75,14,720
5697,40,20,266
3734,60,14,600
4206,75,18,473
4266,75,18,536
1780,160,8,708
3707,120,20,1040
3228,160,14,751
3236,40,6,598
4668,160,6,1063
2955,40,14,495
615,210,18,966
3317,210,14,608
2237,40,10,593
3612,40,10,583
2902,60,20,703
5220,40,6,526
2828,40,8,564
4534,120,18,662
4475,40,14,314
1684,160,10,694
3004,120,6,1199
3187,210,20,686
4435,210,20,752
2266,210,8,992
4322,120,14,656
1770,60,14,430
1842,160,6,655
2364,210,14,890
5553,120,8,642
5813,40,14,532
2786,210,14,1073
4688,60,18,538
72,60,14,608
5469,120,14,504
5311,210,14,786
223,160,14,888
1362,210,6,938
3472,120,6,966
5756,75,14,399
3608,75,6,1055
1519,160,8,672
4989,160,10,618
293,60,10,858
1119,210,14,905
5488,75,8,544
5,210,8,1287
4184,60,10,440
1561,120,10,727
1224,120,8,799
1693,40,10,442
2449,75,18,659
4550,160,10,702
4100,60,18,478
3598,60,8,624
5177,75,10,546
5066,60,14,426
5606,160,6,865
5796,210,8,744
2649,120,6,849
5391,40,18,339
3564,40,8,837
5937,120,10,1052
738,60,20,562
146,75,8,832
4676,75,18,560
1094,120,14,750
392,210,10,991
5777,60,8,538
4887,120,6,705
4226,210,18,688
5429,75,10,513
5077,60,10,443
5523,60,18,360
5726,120,6,679
5728,120,6,639
2489,120,10,735
540,75,20,710
2764,75,8,850
1583,120,20,662
2546,120,14,794
6120,160,14,745
2198,160,6,953
3913,160,18,689
5443,160,18,586
5484,75,8,456
2292,40,6,581
2528,160,6,981
510,40,18,511
222,160,14,760
1133,40,20,481
4674,75,18,527
934,75,20,616
6023,60,6,951
4117,120,14,614
4140,40,14,379
778,120,18,790
3014,210,6,2034
5151,210,8,1018
2096,75,6,544
2954,40,10,640
1844,160,6,633
4247,40,6,464
1332,40,10,561
2742,160,6,1093
3711,160,6,1081
4842,160,8,1019
683,120,18,843
1579,75,18,441
207,210,6,982
4815,210,14,753
3200,60,10,800
4722,40,10,552
2056,60,6,839
4572,160,18,807
1728,60,18,418
1706,40,14,616
5539,40,10,415
508,40,18,734
4756,75,8,593
1652,210,14,600
3620,60,6,782
1915,75,20,367
3781,210,18,791
3991,40,8,519
2830,40,8,625
1785,60,6,481
2551,120,14,769
2277,210,18,959
1769,60,14,391
1643,40,6,496
4207,75,18,552
448,60,8,760
2054,60,6,1376
5065,60,14,455
5304,210,14,625
3146,75,20,750
3439,75,8,686
195,75,10,696
446,60,8,815
3873,160,20,720
1043,40,10,751
244,160,6,1135
3761,75,10,522
5890,160,18,657
2745,160,6,1106
5558,160,8,805
506,40,18,712
759,40,8,699
2261,210,8,993
5610,160,6,823
478,120,20,998
2530,160,6,1018
1141,40,20,522
3533,210,8,1196
725,210,8,1072
2166,210,6,1264
4463,75,20,421
1225,120,8,720
4219,210,18,624
4111,40,20,544
1509,160,8,896
4805,210,18,833
2282,40,6,787
1090,120,14,621
5957,160,20,737
1757,40,18,234
274,210,18,816
5034,160,20,686
912,40,20,430
1127,75,14,695
5990,160,8,1111
373,120,14,576
5070,60,14,417
5552,120,8,677
4508,160,20,606
1125,75,14,526
2675,210,6,1053
1703,160,18,528
2064,60,6,760
4302,60,18,568
4642,120,18,768
6054,210,6,1184
5396,40,18,314
2841,120,18,713
1163,40,6,582
4444,60,10,548
1793,120,14,461
4548,160,10,1041
4976,210,20,626
3415,120,18,400
3771,75,20,731
793,60,14,600
5276,120,8,1368
3551,210,10,1224
2386,160,8,920
5769,40,6,395
2851,60,6,757
4473,40,14,288
3194,60,10,548
3085,60,18,581
3952,160,10,653
1171,75,14,538
5394,40,18,359
4711,40,18,497
1335,40,10,440
295,60,10,505
899,40,14,582
39,210,20,841
5845,40,6,718
5505,210,20,632
1506,75,20,478
4406,120,20,784
319,60,8,816
2908,60,10,739
2589,40,6,568
4242,40,6,482
393,210,10,1392
73,60,14,536
2704,60,6,678
3688,60,18,834
4198,120,18,800
959,60,10,742
3254,210,6,1002
2913,60,10,878
5363,210,18,616
3825,120,10,674
1766,60,14,393
2399,40,8,664
4289,160,14,925
4449,160,6,1006
5468,120,14,568
1289,40,8,553
977,60,6,778
787,60,14,754
1376,160,10,703
660,210,14,847
5180,75,10,409
2595,75,6,897
6093,60,14,465
2916,160,18,837
1477,75,18,541
5795,210,8,1013
5096,60,8,754
4952,160,14,727
3108,120,14,963
4193,60,10,494
3084,60,18,653
5444,160,18,552
3893,60,20,455
6096,60,14,554
2793,60,14,575
1635,40,6,503
176,40,6,615
3093,75,18,626
1897,75,10,546
3592,60,8,801
779,120,18,753
2300,60,8,541
381,40,8,681
4884,120,6,735
3861,210,10,775
3633,120,18,960
2724,160,14,976
1445,60,10,655
5088,160,10,713
2873,120,14,848
1437,60,10,496
563,120,8,857
5965,160,20,1112
2505,40,14,447
3739,160,20,951
3303,40,20,241
4402,40,8,617
1821,120,8,494
4300,60,18,561
5939,120,10,921
689,120,18,797
3715,160,6,1439
2276,210,18,744
1518,160,8,769
2138,120,10,671
2584,40,6,654
916,40,20,627
490,75,18,728
909,40,20,368
628,60,6,992
175,40,6,672
667,160,20,952
472,120,10,889
5839,40,6,808
1581,75,18,601
4396,40,8,676
5397,120,18,545
2981,75,6,690
3829,120,14,623
1284,40,8,615
4796,40,8,601
1485,75,18,513
574,75,6,918
1722,40,8,455
5039,160,20,704
4809,210,18,784
1179,40,18,477
1151,160,14,768
3285,120,8,696
4992,40,6,682
2621,40,20,379
2947,40,10,784
6091,60,14,521
1068,160,18,852
5911,210,14,894
1922,210,20,1144
1304,210,20,893
1276,75,10,734
3123,120,10,840
151,60,6,681
3758,75,10,794
4330,120,10,588
6108,40,10,569
1420,210,18,857
803,40,18,577
5486,75,8,502
4441,60,10,489
4736,120,10,764
2570,210,8,858
6140,60,18,560
3239,40,6,877
2641,160,20,823
2907,60,10,655
5887,160,18,943
5226,75,20,394
427,60,10,985
926,40,6,990
2770,75,8,836
1242,160,20,786
4802,210,18,744
5371,75,18,386
4580,210,8,1008
1439,60,10,527
2003,160,20,735
5145,210,8,750
5857,160,6,1673
3048,75,20,493
3596,60,8,768
4506,160,20,647
4334,120,10,623
2725,160,14,810
4127,75,20,385
5321,120,14,472
4135,75,20,545
1627,75,8,506
702,60,18,850
1144,160,14,1113
2106,210,10,1618
6055,210,6,1000
2136,120,10,475
664,160,20,729
1911,75,20,266
5611,160,6,816
43,210,20,824
1293,40,8,598
5298,210,20,736
1978,160,10,880
1952,60,18,880
1077,210,20,839
1355,60,14,474
4326,120,14,672
838,60,20,760
2791,60,14,899
391,210,10,1008
3509,160,8,1241
6111,210,18,1208
4535,120,18,874
3692,60,18,529
3375,160,20,801
1056,75,18,602
121,160,18,751
3292,160,8,840
2814,210,18,767
4510,160,20,832
3735,60,14,594
634,210,6,1294
3487,60,8,767
4327,120,14,606
4205,120,18,489
3481,210,10,1149
2779,120,10,1301
3832,120,14,701
948,60,8,783
3845,160,18,724
4062,75,10,482
5930,60,8,601
3732,60,14,529
1569,120,18,539
5235,160,8,926
5250,60,6,534
2196,160,6,993
341,120,20,806
4405,40,8,664
5816,40,14,643
3648,75,8,895
1740,75,6,658
2387,160,8,847
2482,120,10,749
3840,160,18,612
1970,75,14,437
5977,40,18,518
3139,40,8,650
5085,160,10,917
1623,160,20,786
3010,210,6,1008
4702,120,8,782
5780,60,8,422
5451,160,18,537
1367,210,6,823
5825,210,8,1103
6053,210,6,1160
2303,60,8,578
2007,160,20,679
845,160,8,1168
6134,210,20,937
5223,75,20,562
4073,60,14,473
5403,120,18,575
2812,210,18,850
3931,160,6,1216
2311,120,8,1062
4161,160,8,886
131,120,18,585
3569,40,6,799
2124,120,6,1154
1194,60,20,552
4651,210,8,967
5867,40,20,486
2518,60,18,561
6000,120,8,872
1222,120,8,783
4877,120,6,663
499,160,8,1027
5347,75,6,904
4154,120,8,703
375,120,14,785
2316,120,8,785
1596,210,8,566
6040,75,8,905
5569,75,6,674
4079,210,20,647
619,210,18,875
5666,210,6,753
1350,60,14,504
4407,120,20,624
2305,60,8,633
3205,60,18,478
5908,210,14,782
4938,60,20,433
1762,60,14,385
3611,40,10,530
1822,120,8,520
3045,160,20,897
5128,210,10,627
1052,40,10,695
6042,75,8,762
5218,40,6,526
3743,160,20,649
5489,75,8,550
5196,40,8,433
855,160,10,993
2525,160,6,906
184,160,8,864
3131,40,8,399
2973,60,8,941
3348,210,18,818
800,40,18,560
5884,160,18,826
3264,210,6,1199
4451,160,6,857
5528,60,18,400
4048,210,8,728
2410,120,20,714
989,60,18,479
3987,210,14,662
3828,120,14,1046
4617,40,10,454
1110,210,14,783
1157,40,6,736
568,120,8,1055
4577,210,8,1304
1784,60,6,511
5292,210,20,655
5346,75,6,591
4489,120,8,749
5246,60,6,449
4950,160,14,820
1234,75,6,699
3553,210,10,1295
557,160,6,1138
1306,210,20,856
4533,75,8,936
732,210,8,1232
5318,120,14,472
5380,40,20,360
5416,160,10,945
3762,75,10,630
5323,40,14,369
5830,75,14,760
1265,210,14,897
2298,60,8,679
3593,60,8,665
2336,60,14,511
1977,160,10,872
2636,160,20,870
5179,75,10,600
5328,40,14,400
5257,60,6,630
5159,60,18,390
6141,60,18,458
214,210,6,1089
4168,160,8,686
2452,60,14,538
4627,40,10,441
25,160,10,1104
3469,120,6,918
3337,75,10,769
3945,160,10,785
2434,210,10,894
3902,60,8,534
1372,210,6,886
4311,60,14,497
5778,60,8,501
2531,160,6,945
3603,75,6,915
133,120,18,673
6136,210,20,727
4286,60,20,586
2323,120,18,463
4883,120,6,777
981,210,8,1228
2658,40,18,394
416,75,8,920
5651,75,18,352
4261,75,18,639
4014,75,14,518
4977,210,20,552
4083,210,20,664
5773,40,6,489
5181,75,10,565
3886,210,6,1081
3507,60,10,1022
851,160,8,848
5695,40,20,257
3,210,8,1128
5320,120,14,514
927,40,6,761
4919,210,6,1401
4853,60,6,621
318,60,8,656
105,75,6,786
4738,120,10,727
4712,40,18,440
636,210,6,1094
4563,75,10,624
1499,75,20,512
3837,120,14,759
5305,210,14,624
3632,120,18,1232
1730,60,18,304
2345,60,14,600
6046,75,8,694
3021,75,10,879
1751,40,18,329
1589,120,20,649
1135,40,20,486
5841,40,6,553
2291,40,6,463
3448,40,14,730
2469,210,18,761
4633,60,10,742
1775,160,8,695
3003,120,6,915
5360,210,18,825
2997,120,6,1058
4461,75,20,352
3795,75,18,687
6062,75,20,466
2642,160,20,616
4469,75,20,359
5017,75,8,632
452,60,14,835
220,160,14,790
1523,120,10,678
4646,120,18,642
2238,40,10,432
5837,75,14,777
4306,60,18,520
2558,160,18,752
3899,60,20,569
2761,75,8,994
4230,40,18,346
4186,60,10,545
4273,40,18,815
6104,40,10,471
4600,75,14,537
2777,120,10,768
1263,210,14,855
847,160,8,1056
4980,160,10,791
1374,210,6,855
604,160,18,838
2651,120,6,817
5247,60,6,778
1486,75,18,615
209,210,6,824
2650,120,6,982
4530,75,8,688
1942,40,20,359
6107,40,10,521
5617,160,6,668
1378,160,10,816
3221,160,6,1216
1493,210,8,874
3779,210,18,1030
4984,160,10,846
3675,75,14,591
4424,40,20,369
2640,160,20,743
640,210,6,1353
3615,40,10,652
5003,120,6,929
846,160,8,1271
5067,60,14,464
2789,210,14,770
3465,120,6,1625
5421,75,10,701
5535,40,10,491
3312,210,14,687
2678,75,20,511
5011,120,6,945
1653,210,14,625
2976,75,6,1075
1782,60,6,563
4249,60,8,1067
5006,120,6,1023
4065,60,14,441
5749,40,8,446
6133,210,20,711
864,160,10,1096
4865,160,18,642
229,60,20,446
114,160,20,672
2882,120,8,884
4046,210,8,800
5157,60,18,530
5536,40,10,367
2299,60,8,833
5529,60,18,400
3498,60,8,776
6075,75,18,512
3966,120,10,1385
2458,60,14,537
3188,210,20,674
36,210,20,888
6035,120,6,1094
3333,210,8,1278
312,40,18,337
3842,160,18,806
720,75,10,1012
2619,40,20,399
5984,40,18,480
4922,210,6,918
3450,40,14,913
473,120,20,614
1548,210,18,608
5183,75,10,448
3161,40,18,362
4236,40,18,366
5612,160,6,823
1463,120,14,703
5556,160,8,799
3462,75,14,594
3857,210,14,935
3377,160,20,745
1155,40,6,536
5966,160,20,750
3144,75,20,667
3690,60,18,592
3490,60,8,479
4203,120,18,639
411,40,20,773
3800,40,14,503
2806,40,6,877
1051,40,10,727
4746,120,14,698
3663,210,6,1040
2232,40,10,466
355,120,10,735
5458,210,14,629
2600,75,6,667
2111,210,10,771
1665,75,14,816
2872,120,14,849
4792,40,8,724
3550,210,10,1120
3910,60,8,600
2000,160,20,921
2280,40,6,778
4090,75,8,634
2486,120,10,857
6068,75,20,539
2455,60,14,517
1611,60,10,721
5504,210,20,624
4053,75,10,648
863,160,10,1151
4237,40,6,567
1233,75,6,709
4587,40,6,432
194,75,10,528
1352,60,14,505
4749,120,14,578
45,75,20,636
3174,40,10,494
1403,160,6,889
2643,160,20,786
1798,120,14,465
1030,160,20,611
186,160,8,824
2448,75,18,830
333,75,18,511
5339,120,20,961
3836,120,14,625
5021,75,8,753
4347,120,6,1287
737,60,20,558
879,120,8,834
4199,120,18,479
1553,120,10,595
61,120,8,1032
2181,40,18,426
4356,210,14,872
1240,160,20,673
69,60,14,545
2909,60,10,669
2664,40,18,359
4365,75,6,767
2242,75,18,697
4622,40,10,440
5023,75,8,815
6112,210,18,1055
3702,120,20,773
2807,40,6,676
2840,120,18,866
2586,40,6,557
915,40,20,430
5790,210,8,759
437,40,6,773
1586,120,20,646
1333,40,10,678
3300,160,8,853
5705,210,18,598
41,210,20,808
4799,40,8,560
4336,120,10,736
858,160,10,999
1521,120,10,643
2918,160,18,802
2049,210,14,926
5295,210,20,627
2723,160,14,745
1156,40,6,672
5412,160,10,872
5851,160,6,1320
5140,160,18,513
1309,210,20,837
3543,120,6,1617
1697,160,18,632
5382,40,20,360
182,160,8,982
4944,40,20,422
5576,210,10,729
6077,75,18,479
4979,210,20,582
245,160,6,1100
5273,120,8,623
2202,60,10,799
2011,40,8,816
5928,60,8,600
5125,210,10,720
2099,75,6,753
1672,210,20,689
