,distance,width,movement_time
3575,40,6,992
2787,210,14,1056
3540,120,6,1082
4343,120,6,1152
596,160,10,954
5721,120,6,725
5174,40,10,383
3001,120,6,1522
1100,210,10,1073
5432,60,10,539
5428,75,10,473
1013,160,6,856
5618,60,14,408
2210,60,10,418
1292,40,8,488
5624,60,14,409
2008,160,20,609
1961,75,14,736
1329,40,10,449
842,60,20,738
5762,75,14,408
3009,210,6,1043
4233,40,18,345
2407,160,10,808
3298,160,8,895
524,75,14,831
3503,60,10,1089
5914,40,8,552
4162,160,8,938
1244,160,20,754
994,60,18,445
4955,160,14,668
436,40,6,829
1701,160,18,533
3401,120,20,494
2122,120,6,960
5772,40,6,447
5503,210,20,696
3079,60,18,782
1647,210,14,763
1197,60,6,666
5980,40,18,498
946,75,10,665
3855,210,14,833
549,120,14,1113
2667,210,6,1199
2964,40,14,528
208,210,6,866
1459,120,14,576
2382,160,8,800
2629,75,8,610
3588,60,20,689
5119,210,6,890
2187,40,18,297
5815,40,14,646
5905,210,14,887
4398,40,8,577
4537,120,18,696
1938,75,20,561
10,210,8,944
897,40,14,464
4585,40,6,474
3399,120,20,430
3324,210,8,1112
259,210,14,846
1209,60,18,448
4494,160,8,769
3076,210,20,768
2523,160,6,864
5086,160,10,691
1455,120,20,571
240,160,6,786
4650,210,8,1026
1743,75,6,553
1002,210,6,1313
480,120,20,1007
5766,40,6,449
4420,40,20,351
3548,120,6,800
3626,60,6,809
6037,120,6,1160
1383,160,10,800
1064,75,18,680
1514,160,8,703
331,75,18,567
6071,75,18,522
2165,210,6,1258
86,120,6,1056
4392,210,10,929
1879,160,14,559
3622,60,6,765
4843,160,8,695
766,120,10,1112
4913,75,10,600
4671,75,18,557
4750,75,8,706
3557,210,10,1116
4348,120,6,690
987,210,8,928
6121,160,14,920
558,160,6,1142
4867,160,18,626
1610,60,10,455
5081,60,10,569
4565,160,18,574
1718,40,8,490
5607,160,6,674
1081,210,20,816
2832,120,18,832
1334,40,10,474
